source;target;pre_link;post_link
12930;40062;1;0
12923;40062;1;0
8922;40063;1;0
79664;40063;1;1
40073;40063;0;1
40080;40064;1;1
40071;40064;1;1
40069;40064;1;1
54372;40064;1;1
40066;40064;1;1
40072;40064;1;1
8909;40064;1;1
40065;40064;1;1
54379;40064;1;1
63462;40064;1;0
54376;40064;1;1
57200;40064;0;1
82823;40064;1;1
54392;40064;1;0
8909;40065;1;1
40068;40065;1;0
40064;40065;1;1
54379;40065;0;1
54372;40065;0;1
40080;40065;1;1
40072;40065;1;1
40066;40065;1;1
40069;40065;1;1
40071;40065;1;1
71132;40065;0;1
8916;40065;1;0
82823;40065;0;1
54376;40065;0;1
40085;40065;1;0
40064;40066;1;1
8916;40066;1;1
8909;40066;1;1
40080;40066;1;0
71132;40066;1;1
40072;40066;0;1
8914;40066;1;1
40065;40066;1;1
40074;40066;1;1
54372;40066;1;0
60797;40066;0;1
40071;40066;1;0
54376;40066;1;0
40069;40066;1;0
9780;40066;1;0
40085;40066;1;0
8913;40066;0;1
84786;40067;0;1
81356;40067;0;1
40073;40067;0;1
55441;40067;0;1
40083;40068;0;1
40070;40068;1;1
40074;40068;1;0
68096;40068;1;1
8910;40068;0;1
8914;40068;1;0
40081;40068;1;0
8922;40068;0;1
73991;40068;0;1
59662;40068;0;1
40086;40068;0;1
40082;40068;1;1
20522;40068;0;1
8923;40068;0;1
61131;40068;0;1
40071;40068;1;0
12934;40068;0;1
12923;40068;0;1
70411;40068;0;1
8917;40068;0;1
40065;40068;1;0
8909;40068;1;0
54372;40069;1;1
40071;40069;1;1
54391;40069;1;1
54376;40069;1;0
82823;40069;1;1
40064;40069;1;1
40085;40069;1;1
8909;40069;1;1
8295;40069;1;0
40065;40069;1;1
12937;40069;0;1
8912;40069;0;1
54370;40069;1;0
12948;40069;1;0
79664;40069;1;0
63462;40069;1;0
40072;40069;1;1
40066;40069;1;0
54379;40069;0;1
8924;40069;0;1
68096;40070;1;1
8914;40070;1;0
40086;40070;0;1
40068;40070;1;1
40074;40070;1;0
43121;40070;1;0
59662;40070;0;1
61131;40070;0;1
40082;40070;1;1
8922;40070;0;1
54372;40071;1;1
40072;40071;1;1
8916;40071;1;0
82823;40071;1;1
54379;40071;0;1
40085;40071;1;1
12948;40071;1;0
54391;40071;1;1
8295;40071;1;0
54376;40071;1;0
40065;40071;1;1
40064;40071;1;1
8909;40071;1;1
40069;40071;1;1
40066;40071;1;0
63462;40071;1;0
40080;40071;1;0
79664;40071;1;0
40068;40071;1;0
54370;40071;1;0
40064;40072;1;1
40071;40072;1;1
82823;40072;1;1
8909;40072;1;1
54372;40072;1;1
40065;40072;1;1
54376;40072;0;1
40069;40072;1;1
54379;40072;1;1
54392;40072;1;0
57200;40072;0;1
40066;40072;0;1
8924;40073;1;1
79664;40073;1;1
8922;40073;1;0
8912;40073;0;1
40083;40073;1;0
40063;40073;0;1
70411;40073;1;0
40067;40073;0;1
55441;40073;0;1
40084;40073;0;1
81356;40073;0;1
84786;40073;0;1
71889;40074;0;1
40079;40074;1;1
60797;40074;0;1
8913;40074;0;1
68096;40074;1;0
40068;40074;1;0
9780;40074;1;0
9777;40074;0;1
8914;40074;1;1
8908;40074;1;1
43127;40074;1;0
12931;40074;1;0
40066;40074;1;1
8912;40074;1;1
12929;40074;0;1
62161;40074;0;1
40070;40074;1;0
40062;40074;1;1
8909;40074;1;0
8916;40074;1;0
12930;40074;0;1
8910;40074;1;1
71132;40074;1;0
43126;40074;1;0
9779;40074;0;1
9781;40074;1;0
2703;40078;1;0
73991;40078;0;1
8910;40078;0;1
40062;40078;0;1
12933;40078;1;0
40074;40079;1;1
9781;40079;1;0
40080;40079;0;1
8913;40079;0;1
8916;40079;1;0
8914;40079;1;0
9779;40079;1;0
40065;40080;1;1
8916;40080;1;0
40066;40080;1;0
40064;40080;1;1
8909;40080;1;1
40082;40080;0;1
40079;40080;0;1
40059;40080;1;0
40071;40080;1;0
40068;40081;1;0
40060;40081;1;0
40068;40082;1;1
40080;40082;0;1
68096;40082;0;1
40070;40082;1;1
40073;40083;1;0
8922;40083;1;1
79664;40083;1;1
8917;40083;1;1
40068;40083;0;1
71889;40083;0;1
62161;40083;1;0
73991;40083;0;1
70411;40083;1;1
12923;40083;1;1
12934;40083;0;1
8924;40083;1;0
8912;40083;0;1
84786;40084;0;1
81356;40084;0;1
55441;40084;0;1
40073;40084;0;1
40071;40085;1;1
40065;40085;1;0
54372;40085;1;1
40069;40085;1;1
54391;40085;1;1
12948;40085;1;0
8295;40085;1;0
40066;40085;1;0
8909;40085;1;0
8910;40086;1;1
59662;40086;1;1
40068;40086;0;1
20522;40086;0;1
40070;40086;0;1
8908;40086;1;0
8922;40086;0;1
8923;40086;0;1
12934;40086;0;1
42889;42865;0;1
42895;42865;1;0
42875;42865;1;1
42884;42865;1;0
84346;42865;0;1
42873;42865;0;1
9542;42865;1;0
9532;42865;1;0
72308;42865;0;1
9537;42866;1;0
9535;42866;1;0
42897;42866;1;0
42874;42866;1;0
42888;42868;1;1
42886;42868;1;1
9538;42868;0;1
42884;42868;0;1
42894;42870;1;1
42901;42870;1;1
42879;42870;1;1
4549;42870;0;1
42875;42870;1;0
42872;42870;1;0
42901;42871;1;0
42881;42871;1;0
42873;42871;1;1
39069;42871;1;0
42879;42872;1;1
42895;42872;1;1
39072;42872;1;0
42889;42872;1;1
42894;42872;1;1
42877;42872;1;1
36110;42872;1;1
39063;42872;0;1
42870;42872;1;0
39050;42872;1;0
84346;42872;0;1
42901;42872;1;0
42881;42873;1;0
36110;42873;0;1
42871;42873;1;1
